地点コード,延床面積(㎡),有効率(%),有効面積(㎡),階層1,階層2,階層3,階層4,階層5,階層1_共込単価(円/㎡),階層1_共込単価(円/坪),階層2_共込単価(円/㎡),階層2_共込単価(円/坪),階層3_共込単価(円/㎡),階層3_共込単価(円/坪),階層4_共込単価(円/㎡),階層4_共込単価(円/坪),階層5_共込単価(円/㎡),階層5_共込単価(円/坪),階層1_有効面積(㎡),階層2_有効面積(㎡),階層3_有効面積(㎡),階層4_有効面積(㎡),階層5_有効面積(㎡),駐車場代単価（円/台）,駐車場台数,緯度,経度,用途,構造・階層,評価書,用途カテゴリ
熊本東5-6,250,100,250,1階：店舗,,,,,2600,8595,,,,,,,,,250,0,0,0,0,0,0,32.84165888888889,130.7807011111111,店舗,S造地上1階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431020506.html,店舗系
熊本西-2,220,100,220,1階：住宅,2階：住宅,,,,1300,4298,1300,4298,,,,,,,110,110,0,0,0,4500,4,32.77201194444444,130.6862911111111,共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431030002.html,戸建住宅系
熊本西-7,220,100,220,1階：住宅,2階：住宅,,,,1477,4883,1477,4883,,,,,,,110,110,0,0,0,0,0,32.807223888888885,130.69089694444443,共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431030007.html,戸建住宅系
熊本西-9,240,100,240,1～2階：住宅,,,,,1400,4628,,,,,,,,,120,0,0,0,0,0,0,32.780168333333336,130.65601194444443,共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431030009.html,戸建住宅系
熊本西-12,540,90,486,1階：共同住宅,2階：共同住宅,3階：共同住宅,,,2088,6902,2000,6612,2000,6612,,,,,162,162,162,0,0,9500,12,32.79171027777778,130.6874361111111,共同住宅,RC造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431030012.html,共同住宅
熊本西5-1,285,88.3,251.75,1階：店舗,2～3階：住宅,,,,2344,7749,1648,5448,,,,,,,80.75,85.5,0,0,0,0,0,32.81909,130.70581888888887,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431030501.html,店舗＆共同住宅
熊本西5-2,360,88.3,318,1階：店舗,2～3階：住宅,,,,1904,6294,1440,4760,,,,,,,102,108,0,0,0,0,0,32.78058611111111,130.6836788888889,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431030502.html,店舗＆共同住宅
熊本西5-3,1272,91.1,1158.72,1階：店舗,2～4階：住宅,5～7階：住宅,,,2870,9488,1775,5868,1811,5987,,,,,165.12,165.6,165.6,0,0,5000,15,32.784195,130.69119694444444,店舗兼共同住宅,RC造地上7階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431030503.html,店舗＆共同住宅
熊本西5-4,200,100,200,1階：店舗,2階：共同住宅,,,,1950,6446,1350,4463,,,,,,,100,100,0,0,0,0,0,32.82580111111111,130.70797027777778,店舗兼共同住宅,S造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431030504.html,店舗系
熊本西5-5,1050,88.3,927.5,1階：店舗,2～3階：住宅,,,,1944,6426,1460,4826,,,,,,,297.5,315,0,0,0,0,0,32.77738888888889,130.65413694444445,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431030505.html,店舗＆共同住宅
熊本西5-6,720,86.7,624,1階：店舗,2階：店舗,3階：住宅,,,2650,8760,2200,7273,1480,4893,,,,,204,204,216,0,0,0,0,32.78474305555555,130.67982,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431030506.html,店舗＆共同住宅
熊本西5-7,2813.8,85.8,2415.3,1階：店舗,2階：事務所,3～7階：共同住宅,,,2550,8430,2040,6744,1650,5455,,,,,167.37,384.48,372.69,0,0,9000,34,32.81288694444444,130.69776,店舗・事務所兼共同住宅,RC造地上7階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431030507.html,店舗＆事務所＆共同住宅
熊本南-9,216.6,100,216.6,1階：住宅,2階：住宅,,,,1420,4694,1460,4826,,,,,,,108.3,108.3,0,0,0,6000,4,32.775333055555556,130.69916,共同住宅,S造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431040009.html,戸建住宅系
熊本南5-1,240,100,240,1階：店舗,2階：共同住宅,,,,1550,5124,1300,4298,,,,,,,120,120,0,0,0,0,0,32.740496944444445,130.68255499999998,店舗兼共同住宅,S造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431040501.html,店舗系
熊本南5-2,160,100,160,1階：店舗,,,,,3100,10248,,,,,,,,,160,0,0,0,0,0,0,32.77204611111111,130.70611694444446,店舗,S造地上1階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431040502.html,店舗系
熊本南5-3,220,100,220,1階：店舗,2階：共同住宅,,,,2292,7577,1200,3967,,,,,,,110,110,0,0,0,5000,5,32.763534166666666,130.68091111111113,店舗兼共同住宅,S造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431040503.html,店舗系
